,image_id,image_name,true_labels,true_boxes,predicted_labels,predicted_boxes
152,152,"[742, 742, 742, 742, 742, 742, 742, 742, 742, 742, 742, 742, 742, 742, 742, 742]","[0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6]","[[140.0, 179.0, 186.0, 277.0], [8.0, 31.0, 53.0, 66.0], [52.0, 32.0, 97.0, 42.0], [96.0, 31.0, 141.0, 66.0], [141.0, 31.0, 184.0, 67.0], [184.0, 30.0, 228.0, 66.0], [228.0, 31.0, 273.0, 43.0], [273.0, 31.0, 317.0, 42.0], [317.0, 31.0, 361.0, 64.0], [142.0, 275.0, 185.0, 286.0], [8.0, 156.0, 96.0, 255.0], [7.0, 255.0, 95.0, 371.0], [7.0, 370.0, 95.0, 480.0], [95.0, 384.0, 139.0, 410.0], [95.0, 410.0, 141.0, 433.0], [187.0, 162.0, 365.0, 486.0]]","[5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 5, 1]","[[95.92015075683594, 30.663217544555664, 140.8335723876953, 65.52798461914062], [185.07684326171875, 31.2748966217041, 228.899169921875, 65.90283966064453], [7.779824733734131, 30.581684112548828, 52.37353515625, 65.10470581054688], [141.23533630371094, 30.512344360351562, 184.82998657226562, 65.45087432861328], [317.7974853515625, 30.181692123413086, 363.0159606933594, 62.926639556884766], [6.789186000823975, 152.61203002929688, 95.32833862304688, 250.08056640625], [182.92269897460938, 159.5577850341797, 366.4309387207031, 491.59698486328125], [7.060757160186768, 368.49652099609375, 94.1925048828125, 479.7447204589844], [95.3119125366211, 382.8441467285156, 140.70855712890625, 482.050537109375], [8.087055206298828, 250.5257110595703, 96.03227233886719, 369.79400634765625], [0.6952106356620789, 17.31610107421875, 342.61517333984375, 30.80815887451172], [8.848564147949219, 254.62020874023438, 97.0472412109375, 363.96429443359375]]"
153,153,"[743, 743, 743, 743, 743, 743, 743, 743]","[0, 5, 5, 6, 6, 6, 6, 6]","[[11.0, 28.0, 182.0, 118.0], [14.0, 117.0, 127.0, 134.0], [183.0, 97.0, 240.0, 111.0], [297.0, 30.0, 354.0, 77.0], [239.0, 77.0, 354.0, 125.0], [239.0, 126.0, 354.0, 237.0], [240.0, 236.0, 353.0, 479.0], [183.0, 333.0, 238.0, 478.0]]","[6, 5, 6, 6, 6, 6, 6, 5, 5, 6, 1]","[[238.22120666503906, 231.3451690673828, 351.5583801269531, 475.2649841308594], [11.101130485534668, 117.49290466308594, 129.29229736328125, 135.68148803710938], [238.7130889892578, 124.12588500976562, 353.58587646484375, 233.82461547851562], [240.45726013183594, 77.350830078125, 351.470458984375, 123.5709457397461], [297.0482482910156, 28.272937774658203, 353.2839050292969, 76.9197998046875], [183.0199432373047, 441.3046569824219, 238.85562133789062, 478.8993835449219], [182.9889678955078, 391.9627990722656, 238.11509704589844, 443.8373107910156], [13.009881973266602, 313.9997863769531, 68.45513153076172, 323.9547424316406], [70.26728057861328, 380.4119567871094, 125.06621551513672, 388.69580078125], [182.5892791748047, 345.28460693359375, 238.64450073242188, 388.92950439453125], [10.383350372314453, 25.726476669311523, 179.74293518066406, 112.73737335205078]]"
154,154,"[747, 747, 747, 747, 747, 747, 747, 747, 747, 747]","[0, 5, 5, 5, 5, 5, 6, 6, 6, 6]","[[127.0, 14.0, 181.0, 91.0], [127.0, 90.0, 182.0, 104.0], [16.0, 98.0, 71.0, 114.0], [181.0, 41.0, 237.0, 57.0], [183.0, 183.0, 238.0, 221.0], [293.0, 188.0, 348.0, 240.0], [238.0, 16.0, 348.0, 161.0], [184.0, 154.0, 238.0, 182.0], [13.0, 244.0, 183.0, 470.0], [239.0, 248.0, 294.0, 472.0]]","[6, 6, 5, 6, 5, 5, 2, 1, 1, 6, 6, 6, 5, 1, 2, 5, 5, 1, 5, 6, 2]","[[238.2821807861328, 245.08639526367188, 293.595458984375, 482.6646423339844], [237.62696838378906, 14.842615127563477, 347.87823486328125, 158.37799072265625], [180.9694061279297, 42.060089111328125, 237.386474609375, 56.998958587646484], [14.919257164001465, 269.14959716796875, 181.540283203125, 472.53326416015625], [125.61646270751953, 90.87735748291016, 182.88970947265625, 105.268310546875], [182.2032928466797, 186.02835083007812, 237.84619140625, 220.4431915283203], [12.77307415008545, 238.83218383789062, 179.30747985839844, 333.0710754394531], [127.87318420410156, 13.90242862701416, 181.25942993164062, 87.10977935791016], [15.653244972229004, 125.4306869506836, 70.10997009277344, 231.67562866210938], [182.32794189453125, 152.88331604003906, 237.93829345703125, 188.18617248535156], [15.560126304626465, 118.17993927001953, 71.30279541015625, 243.00123596191406], [14.62509822845459, 21.98647689819336, 129.53794860839844, 100.93279266357422], [292.7193298339844, 318.91717529296875, 351.94677734375, 328.44622802734375], [9.067416191101074, 241.0015869140625, 183.21566772460938, 331.9677429199219], [19.583576202392578, 239.98768615722656, 175.14735412597656, 427.6440734863281], [238.56094360351562, 222.96546936035156, 293.6327819824219, 232.13404846191406], [15.230829238891602, 21.067893981933594, 129.20057678222656, 101.43171691894531], [14.348538398742676, 22.17891502380371, 130.2182159423828, 102.2956771850586], [15.277715682983398, 14.423383712768555, 125.98066711425781, 34.87771224975586], [181.8721923828125, 182.39549255371094, 239.64620971679688, 221.2076416015625], [16.449634552001953, 113.64754486083984, 74.04435729980469, 242.84666442871094]]"
155,155,"[751, 751, 751, 751, 751, 751, 751, 751]","[0, 5, 5, 5, 5, 5, 5, 5]","[[19.0, 46.0, 125.0, 188.0], [126.0, 19.0, 179.0, 64.0], [181.0, 19.0, 236.0, 62.0], [17.0, 272.0, 72.0, 282.0], [15.0, 434.0, 72.0, 447.0], [74.0, 271.0, 126.0, 282.0], [127.0, 400.0, 180.0, 412.0], [179.0, 402.0, 234.0, 413.0]]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6]","[[13.095379829406738, 435.80908203125, 71.26715850830078, 446.31475830078125], [15.272195816040039, 270.54144287109375, 72.70950317382812, 280.5054626464844], [126.88819122314453, 400.48248291015625, 179.19110107421875, 410.8273010253906], [16.4759578704834, 22.6439208984375, 126.16056823730469, 43.5799560546875], [179.90536499023438, 403.0305480957031, 233.5731658935547, 413.5774230957031], [127.28919219970703, 320.06640625, 180.10308837890625, 329.886474609375], [127.3858871459961, 246.3690185546875, 181.02310180664062, 256.790283203125], [71.84674835205078, 271.439697265625, 126.4782485961914, 280.7008972167969], [181.07188415527344, 324.4103698730469, 235.74404907226562, 332.1944580078125], [180.95428466796875, 408.2315979003906, 236.0238037109375, 420.2109069824219], [229.2275390625, 183.794677734375, 349.4315185546875, 199.4524383544922], [180.7718048095703, 32.906375885009766, 236.65757751464844, 59.79048538208008]]"
156,156,"[757, 757, 757, 757, 757, 757]","[0, 6, 6, 6, 6, 6]","[[321.0, 33.0, 357.0, 111.0], [249.0, 207.0, 359.0, 234.0], [249.0, 234.0, 358.0, 362.0], [83.0, 369.0, 137.0, 419.0], [82.0, 420.0, 138.0, 467.0], [247.0, 361.0, 356.0, 471.0]]","[6, 6, 6, 6, 6, 5, 6, 5, 5, 1, 1, 5, 5]","[[249.56842041015625, 231.02174377441406, 358.3230285644531, 357.24176025390625], [247.86761474609375, 356.56268310546875, 356.7706298828125, 470.72149658203125], [82.01519775390625, 417.6705627441406, 137.1306610107422, 467.5126037597656], [249.2830810546875, 206.50421142578125, 358.0577392578125, 234.38047790527344], [82.01094818115234, 368.8206787109375, 138.38665771484375, 417.913330078125], [248.68946838378906, 20.91844940185547, 362.13006591796875, 38.619651794433594], [137.5473175048828, 305.3529968261719, 246.1818084716797, 459.8041687011719], [141.26055908203125, 307.9897766113281, 248.35073852539062, 332.20306396484375], [81.96114349365234, 369.1544189453125, 138.77415466308594, 415.998779296875], [248.51441955566406, 20.17514419555664, 361.3938903808594, 106.71798706054688], [138.16123962402344, 306.92755126953125, 245.9161376953125, 456.8988342285156], [28.174945831298828, 93.27647399902344, 84.41238403320312, 107.9272689819336], [80.9984130859375, 418.5064392089844, 137.45547485351562, 466.7331237792969]]"
157,157,"[759, 759, 759, 759, 759, 759, 759]","[0, 6, 5, 5, 5, 5, 6]","[[242.0, 362.0, 295.0, 474.0], [25.0, 19.0, 79.0, 120.0], [84.0, 26.0, 185.0, 64.0], [26.0, 164.0, 77.0, 174.0], [296.0, 20.0, 352.0, 47.0], [242.0, 362.0, 296.0, 374.0], [26.0, 347.0, 77.0, 489.0]]","[5, 6, 6, 5, 5, 5, 1, 5, 5]","[[296.22222900390625, 17.05429458618164, 351.4248962402344, 47.0543212890625], [25.45787239074707, 344.6824035644531, 77.44416046142578, 486.14593505859375], [26.41802978515625, 17.517114639282227, 80.98038482666016, 118.69693756103516], [133.62757873535156, 324.5378112792969, 187.4195098876953, 335.5198974609375], [26.61773681640625, 165.3153533935547, 79.3448486328125, 173.76773071289062], [241.6366424560547, 361.34490966796875, 296.65338134765625, 373.28839111328125], [81.67489624023438, 20.808937072753906, 186.740478515625, 62.152320861816406], [243.5789337158203, 307.63128662109375, 296.6873779296875, 315.2640686035156], [27.733551025390625, 21.482385635375977, 80.01376342773438, 31.79730987548828]]"
158,158,"[770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770, 770]","[0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6]","[[99.0, 17.0, 233.0, 136.0], [11.0, 16.0, 56.0, 62.0], [55.0, 17.0, 99.0, 62.0], [232.0, 17.0, 320.0, 49.0], [320.0, 17.0, 366.0, 60.0], [12.0, 211.0, 54.0, 227.0], [54.0, 218.0, 99.0, 234.0], [11.0, 286.0, 54.0, 298.0], [54.0, 285.0, 99.0, 295.0], [11.0, 326.0, 55.0, 338.0], [56.0, 344.0, 99.0, 354.0], [100.0, 136.0, 143.0, 147.0], [187.0, 137.0, 233.0, 172.0], [144.0, 145.0, 188.0, 161.0], [278.0, 220.0, 323.0, 236.0], [324.0, 219.0, 367.0, 232.0], [144.0, 234.0, 187.0, 246.0], [188.0, 250.0, 234.0, 266.0], [101.0, 338.0, 143.0, 349.0], [55.0, 402.0, 99.0, 414.0], [100.0, 430.0, 143.0, 442.0], [144.0, 366.0, 189.0, 378.0], [190.0, 318.0, 233.0, 334.0], [233.0, 280.0, 278.0, 297.0], [188.0, 373.0, 233.0, 384.0], [234.0, 372.0, 278.0, 383.0], [234.0, 412.0, 277.0, 421.0], [11.0, 363.0, 56.0, 472.0], [323.0, 289.0, 367.0, 347.0], [279.0, 347.0, 367.0, 477.0]]","[5, 5, 5, 5, 5, 6, 6, 6, 5, 5, 5, 5, 5]","[[9.92628288269043, 16.266237258911133, 55.36259078979492, 60.88374328613281], [54.67597198486328, 15.627725601196289, 100.20592498779297, 59.846927642822266], [320.7867431640625, 15.420306205749512, 365.78106689453125, 59.530696868896484], [187.81982421875, 135.9599609375, 233.2431640625, 172.6708984375], [230.71446228027344, 16.13724136352539, 322.3277587890625, 49.391822814941406], [10.62047290802002, 360.0304260253906, 55.015987396240234, 472.1277160644531], [322.77264404296875, 288.6554870605469, 366.482421875, 346.0243835449219], [280.1104736328125, 347.6251220703125, 364.63690185546875, 474.46148681640625], [144.11538696289062, 232.46836853027344, 189.76947021484375, 246.49183654785156], [277.173095703125, 219.09063720703125, 322.1713562011719, 235.96852111816406], [143.95127868652344, 366.12274169921875, 189.24771118164062, 380.8611755371094], [100.3299331665039, 336.4369812011719, 144.4143829345703, 348.54669189453125], [94.52577209472656, 17.01173973083496, 232.43466186523438, 26.346017837524414]]"
159,159,"[790, 790, 790, 790, 790, 790, 790]","[4, 5, 5, 5, 5, 5, 5]","[[211.0, 21.0, 361.0, 223.0], [59.0, 21.0, 109.0, 33.0], [113.0, 262.0, 160.0, 273.0], [110.0, 123.0, 159.0, 132.0], [163.0, 24.0, 208.0, 36.0], [214.0, 228.0, 261.0, 242.0], [317.0, 227.0, 361.0, 247.0]]","[5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5]","[[162.81198120117188, 23.376657485961914, 210.14161682128906, 36.16059875488281], [58.410247802734375, 21.80217170715332, 109.63755798339844, 33.622562408447266], [214.60719299316406, 5.7364888191223145, 363.25628662109375, 236.23092651367188], [109.59321594238281, 123.49040222167969, 160.30958557128906, 133.73388671875], [212.48887634277344, 225.95826721191406, 262.52069091796875, 245.18765258789062], [59.35173797607422, 263.11480712890625, 111.18486022949219, 271.0125732421875], [112.34866333007812, 262.4709167480469, 160.964111328125, 274.1767272949219], [60.204750061035156, 447.9537658691406, 110.7454833984375, 457.01080322265625], [109.92000579833984, 22.17207145690918, 160.40296936035156, 29.738445281982422], [59.98944091796875, 357.99688720703125, 110.60932159423828, 364.5816345214844], [208.13644409179688, 1.4416550397872925, 353.7197570800781, 199.31163024902344], [7.510210037231445, 115.2691879272461, 58.63506317138672, 122.49159240722656]]"
160,160,"[793, 793, 793, 793, 793, 793, 793, 793, 793, 793, 793, 793, 793, 793]","[3, 0, 0, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6]","[[15.0, 42.0, 186.0, 176.0], [102.0, 186.0, 143.0, 271.0], [189.0, 187.0, 232.0, 286.0], [15.0, 176.0, 102.0, 202.0], [100.0, 293.0, 143.0, 332.0], [235.0, 180.0, 318.0, 213.0], [320.0, 177.0, 364.0, 218.0], [55.0, 417.0, 100.0, 434.0], [276.0, 298.0, 319.0, 339.0], [100.0, 399.0, 142.0, 417.0], [145.0, 368.0, 186.0, 386.0], [12.0, 403.0, 54.0, 484.0], [55.0, 452.0, 99.0, 485.0], [276.0, 384.0, 362.0, 486.0]]","[5, 6, 5, 5, 5, 3, 6, 2, 4]","[[275.6883239746094, 296.55865478515625, 319.76251220703125, 336.32806396484375], [12.679559707641602, 401.4106140136719, 55.9556770324707, 486.2640075683594], [320.60394287109375, 177.68397521972656, 366.1846008300781, 217.56198120117188], [100.60446166992188, 293.17767333984375, 144.95082092285156, 331.7654724121094], [10.894173622131348, 19.753326416015625, 366.6929016113281, 41.87910842895508], [1.2071295976638794, 40.96182632446289, 375.0, 173.8834686279297], [274.77099609375, 383.34051513671875, 363.7987060546875, 487.64886474609375], [14.253931045532227, 32.203853607177734, 228.47073364257812, 177.8146209716797], [21.310588836669922, 32.96034622192383, 217.73573303222656, 182.32582092285156]]"
161,161,"[794, 794, 794, 794, 794, 794, 794, 794, 794]","[4, 5, 5, 5, 5, 5, 5, 5, 5]","[[219.0, 16.0, 369.0, 218.0], [10.0, 115.0, 59.0, 126.0], [112.0, 17.0, 163.0, 44.0], [164.0, 17.0, 218.0, 44.0], [218.0, 220.0, 268.0, 249.0], [64.0, 196.0, 113.0, 203.0], [62.0, 77.0, 112.0, 86.0], [65.0, 237.0, 113.0, 244.0], [65.0, 300.0, 115.0, 307.0]]","[5, 5, 5, 5, 5, 4, 5, 5, 5, 2]","[[113.32447052001953, 16.402528762817383, 165.47647094726562, 45.09622573852539], [217.12783813476562, 218.56752014160156, 270.2417907714844, 249.20614624023438], [165.096435546875, 16.469329833984375, 218.0719757080078, 43.05948257446289], [63.4754753112793, 299.88116455078125, 114.55590057373047, 308.3006896972656], [11.521498680114746, 115.93728637695312, 61.817996978759766, 126.65359497070312], [215.5610809326172, 5.482707977294922, 368.90325927734375, 234.47686767578125], [61.6280517578125, 77.43170166015625, 113.45669555664062, 85.13365173339844], [63.716941833496094, 236.4726104736328, 113.77362823486328, 243.11691284179688], [62.111610412597656, 194.08322143554688, 113.14018249511719, 202.205322265625], [214.8062286376953, 0.9752169847488403, 360.1869812011719, 199.28453063964844]]"
162,162,"[795, 795, 795, 795]","[0, 0, 0, 5]","[[259.0, 47.0, 361.0, 186.0], [5.0, 44.0, 106.0, 205.0], [5.0, 345.0, 106.0, 483.0], [261.0, 185.0, 308.0, 219.0]]","[5, 5, 5, 5]","[[2.8235251903533936, 348.15948486328125, 106.27078247070312, 360.5951843261719], [257.4459228515625, 188.26593017578125, 308.02972412109375, 218.00794982910156], [256.13409423828125, 48.626365661621094, 362.39874267578125, 61.48261642456055], [5.018459796905518, 48.40643310546875, 109.25244140625, 63.0703010559082]]"
163,163,"[797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797, 797]","[0, 1, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5]","[[57.0, 201.0, 114.0, 261.0], [55.0, 26.0, 112.0, 70.0], [282.0, 32.0, 341.0, 102.0], [112.0, 28.0, 166.0, 146.0], [226.0, 106.0, 342.0, 159.0], [168.0, 161.0, 344.0, 294.0], [113.0, 319.0, 344.0, 475.0], [1.0, 455.0, 56.0, 482.0], [5.0, 27.0, 57.0, 154.0], [4.0, 155.0, 56.0, 203.0], [167.0, 31.0, 223.0, 51.0], [53.0, 70.0, 111.0, 90.0], [58.0, 355.0, 114.0, 375.0], [58.0, 419.0, 113.0, 438.0]]","[5, 6, 6, 6, 6, 6, 6, 6, 1, 1, 6, 5]","[[163.9981231689453, 31.366968154907227, 224.05250549316406, 51.176513671875], [118.49586486816406, 315.56085205078125, 351.7075500488281, 473.1584167480469], [227.2936553955078, 105.82915496826172, 344.23663330078125, 157.8868408203125], [281.7266845703125, 30.940656661987305, 339.5165710449219, 101.83985137939453], [113.03425598144531, 28.5389461517334, 165.66607666015625, 145.25279235839844], [3.96563720703125, 25.008941650390625, 55.20668411254883, 153.803466796875], [170.8331298828125, 148.86428833007812, 342.93426513671875, 294.1583251953125], [2.6438231468200684, 427.00006103515625, 56.913787841796875, 484.6311340332031], [54.91193771362305, 25.452367782592773, 113.99011993408203, 69.86717987060547], [56.45817184448242, 203.3533477783203, 112.31764221191406, 255.10763549804688], [2.0451908111572266, 291.9260559082031, 57.607093811035156, 430.485595703125], [115.27690887451172, 26.009401321411133, 164.98556518554688, 147.42453002929688]]"
164,164,"[801, 801, 801, 801, 801, 801, 801]","[1, 1, 5, 5, 5, 5, 5]","[[11.0, 23.0, 123.0, 73.0], [124.0, 24.0, 345.0, 283.0], [13.0, 73.0, 121.0, 82.0], [15.0, 167.0, 122.0, 176.0], [18.0, 269.0, 123.0, 280.0], [19.0, 368.0, 123.0, 380.0], [192.0, 22.0, 337.0, 63.0]]","[5, 5, 5, 1, 1, 1, 1, 2]","[[16.817890167236328, 266.8317565917969, 123.62744140625, 279.5123596191406], [16.410669326782227, 367.4047546386719, 124.86567687988281, 379.5271301269531], [16.66741371154785, 165.85675048828125, 123.99481201171875, 177.26194763183594], [14.898506164550781, 365.9118347167969, 126.50906372070312, 457.4562072753906], [117.58450317382812, 9.650726318359375, 344.4176940917969, 316.2386169433594], [14.09388542175293, 271.6682434082031, 120.90913391113281, 323.7986145019531], [10.75528335571289, 26.1845703125, 118.64745330810547, 153.17059326171875], [114.46598052978516, 18.448406219482422, 351.51983642578125, 275.73297119140625]]"
165,165,"[809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809, 809]","[0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5]","[[60.0, 32.0, 324.0, 152.0], [13.0, 19.0, 365.0, 34.0], [14.0, 35.0, 57.0, 70.0], [58.0, 150.0, 102.0, 186.0], [12.0, 202.0, 57.0, 218.0], [322.0, 34.0, 365.0, 72.0], [278.0, 150.0, 321.0, 188.0], [190.0, 245.0, 233.0, 281.0], [103.0, 318.0, 145.0, 331.0], [147.0, 349.0, 191.0, 365.0], [235.0, 245.0, 278.0, 261.0], [191.0, 375.0, 235.0, 392.0], [236.0, 355.0, 278.0, 372.0], [279.0, 327.0, 323.0, 340.0], [279.0, 422.0, 324.0, 439.0], [146.0, 402.0, 188.0, 418.0], [12.0, 369.0, 103.0, 479.0], [323.0, 203.0, 367.0, 479.0]]","[5, 5, 5, 5, 5, 6, 6, 5, 1, 2]","[[13.579547882080078, 34.179969787597656, 59.09169387817383, 70.21798706054688], [278.3398742675781, 150.15267944335938, 322.2992248535156, 187.4313201904297], [57.349185943603516, 150.68731689453125, 103.09892272949219, 184.88870239257812], [189.7068328857422, 243.5048065185547, 235.1165313720703, 281.6970520019531], [321.7942199707031, 34.02945327758789, 366.8009338378906, 70.347412109375], [321.86456298828125, 205.03895568847656, 368.308837890625, 473.2811584472656], [12.403189659118652, 365.7084045410156, 101.52813720703125, 477.66986083984375], [10.415827751159668, 20.929311752319336, 370.1112060546875, 34.724822998046875], [55.410186767578125, 26.10468292236328, 320.5665588378906, 149.88995361328125], [61.22640609741211, 22.32229995727539, 323.7983093261719, 147.1106414794922]]"
166,166,"[811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811, 811]","[3, 0, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6]","[[12.0, 325.0, 154.0, 480.0], [64.0, 44.0, 158.0, 139.0], [11.0, 42.0, 60.0, 84.0], [9.0, 190.0, 58.0, 217.0], [9.0, 268.0, 58.0, 286.0], [59.0, 140.0, 109.0, 183.0], [59.0, 257.0, 108.0, 275.0], [161.0, 42.0, 207.0, 83.0], [210.0, 42.0, 257.0, 71.0], [160.0, 424.0, 208.0, 442.0], [308.0, 44.0, 360.0, 359.0], [309.0, 451.0, 356.0, 478.0]]","[5, 5, 5, 6, 3]","[[158.63319396972656, 43.168296813964844, 208.1951904296875, 82.16877746582031], [58.29997634887695, 139.34022521972656, 109.07711029052734, 183.59466552734375], [10.756876945495605, 42.91738510131836, 61.659732818603516, 83.64105987548828], [306.7817077636719, 50.4730110168457, 359.9303283691406, 353.08831787109375], [12.335613250732422, 324.1885986328125, 158.6718292236328, 482.9251708984375]]"
167,167,"[819, 819, 819, 819, 819, 819, 819, 819, 819, 819, 819, 819, 819, 819, 819]","[0, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6]","[[90.0, 19.0, 221.0, 128.0], [7.0, 16.0, 47.0, 85.0], [90.0, 126.0, 134.0, 160.0], [176.0, 124.0, 220.0, 165.0], [133.0, 221.0, 176.0, 257.0], [219.0, 18.0, 264.0, 80.0], [262.0, 138.0, 305.0, 156.0], [307.0, 18.0, 349.0, 35.0], [4.0, 402.0, 49.0, 484.0], [49.0, 358.0, 135.0, 486.0], [134.0, 346.0, 224.0, 483.0], [179.0, 287.0, 224.0, 344.0], [221.0, 251.0, 352.0, 487.0], [265.0, 169.0, 352.0, 251.0], [307.0, 54.0, 352.0, 168.0]]","[5, 5, 5, 6, 6, 6, 6, 6, 6, 5, 6]","[[218.74310302734375, 17.322486877441406, 262.532470703125, 79.30014038085938], [176.36949157714844, 125.45252990722656, 220.4484405517578, 160.85671997070312], [89.87882995605469, 126.29177856445312, 133.71536254882812, 161.04055786132812], [221.47122192382812, 244.6698760986328, 352.17724609375, 484.673828125], [264.4397888183594, 167.45281982421875, 350.359375, 246.10916137695312], [306.8231506347656, 52.971710205078125, 351.24249267578125, 165.9673309326172], [49.6409912109375, 355.2892150878906, 134.09829711914062, 484.1269226074219], [176.64059448242188, 284.6898193359375, 221.42274475097656, 345.68414306640625], [135.8678436279297, 340.7033386230469, 221.20997619628906, 482.71044921875], [133.92611694335938, 220.6389617919922, 177.3928680419922, 255.10714721679688], [3.467702865600586, 399.760009765625, 49.23963928222656, 485.0230407714844]]"
168,168,"[821, 821, 821, 821, 821, 821]","[0, 0, 0, 0, 0, 1]","[[305.0, 176.0, 367.0, 328.0], [111.0, 175.0, 306.0, 326.0], [220.0, 27.0, 368.0, 180.0], [15.0, 25.0, 234.0, 204.0], [104.0, 279.0, 219.0, 423.0], [21.0, 206.0, 107.0, 393.0]]","[1, 6, 1]","[[20.956018447875977, 197.9476318359375, 109.49726867675781, 381.3370361328125], [19.093839645385742, 195.9747772216797, 111.44147491455078, 388.14947509765625], [0.0, 18.910491943359375, 375.0, 417.25762939453125]]"
169,169,"[823, 823, 823, 823, 823, 823, 823, 823, 823, 823, 823, 823, 823]","[3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[[21.0, 22.0, 348.0, 119.0], [18.0, 121.0, 112.0, 183.0], [17.0, 182.0, 110.0, 237.0], [18.0, 236.0, 112.0, 281.0], [17.0, 282.0, 110.0, 348.0], [16.0, 347.0, 113.0, 477.0], [114.0, 369.0, 159.0, 477.0], [300.0, 432.0, 347.0, 478.0], [301.0, 246.0, 348.0, 299.0], [302.0, 322.0, 350.0, 366.0], [302.0, 369.0, 352.0, 413.0], [301.0, 119.0, 348.0, 157.0], [112.0, 119.0, 159.0, 207.0]]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 5, 6, 6, 5, 5, 5, 5]","[[113.31017303466797, 369.36907958984375, 159.14634704589844, 477.37908935546875], [18.02117156982422, 184.30557250976562, 112.48521423339844, 235.19647216796875], [301.0284423828125, 430.23773193359375, 349.80548095703125, 476.96673583984375], [300.7726135253906, 118.001220703125, 349.2553405761719, 243.07713317871094], [300.5906066894531, 246.86367797851562, 350.673828125, 296.68109130859375], [8.540722846984863, 345.4198913574219, 112.14594268798828, 479.8759460449219], [20.947242736816406, 116.61907958984375, 110.0082015991211, 185.4517364501953], [301.5969543457031, 367.1317138671875, 349.6270751953125, 413.74609375], [18.103145599365234, 237.6912078857422, 112.91998291015625, 280.0184631347656], [300.607421875, 316.0967712402344, 348.4756774902344, 366.9752197265625], [11.116151809692383, 21.803852081298828, 353.0456237792969, 117.95674133300781], [300.5776672363281, 120.04618835449219, 348.7476501464844, 157.462646484375], [16.594158172607422, 282.897705078125, 113.29975891113281, 345.5480651855469], [112.38957214355469, 117.16106414794922, 160.25306701660156, 205.9434356689453], [160.21510314941406, 219.09507751464844, 207.32305908203125, 231.24868774414062], [113.18150329589844, 118.29507446289062, 159.73159790039062, 205.82736206054688], [17.395668029785156, 283.56500244140625, 112.52953338623047, 343.7012939453125], [24.518882751464844, 115.56939697265625, 113.6359634399414, 182.68016052246094]]"
